G1 X: 0, Y: 0, Z: 15.0, E: 3

G1 X: 0, Y: 0, Z: 15.0, E: -6.5
G1 X: 138, Y: 157.904, Z: 0.25, E: 0
G1 X: 138, Y: 198.096, Z: 0.25, E: 0.0126
G1 X: 137.904, Y: 198.096, Z: 0.25, E: 0.01263
G1 X: 137.904, Y: 157.904, Z: 0.25, E: 0.02523
G1 X: 139, Y: 157.904, Z: 0.25, E: 0.02557
G1 X: 139, Y: 198.096, Z: 0.25, E: 0.03818
G1 X: 140, Y: 198.096, Z: 0.25, E: 0.03849
G1 X: 140, Y: 157.904, Z: 0.25, E: 0.05109
G1 X: 141, Y: 157.904, Z: 0.25, E: 0.0514
G1 X: 141, Y: 198.096, Z: 0.25, E: 0.064
G1 X: 142, Y: 198.096, Z: 0.25, E: 0.06432
G1 X: 142, Y: 157.904, Z: 0.25, E: 0.07692
G1 X: 143, Y: 157.904, Z: 0.25, E: 0.07723
G1 X: 143, Y: 198.096, Z: 0.25, E: 0.08983
G1 X: 144, Y: 198.096, Z: 0.25, E: 0.09015
G1 X: 144, Y: 157.904, Z: 0.25, E: 0.10275
G1 X: 145, Y: 157.904, Z: 0.25, E: 0.10306
G1 X: 145, Y: 198.096, Z: 0.25, E: 0.11566
G1 X: 146, Y: 198.096, Z: 0.25, E: 0.11597
G1 X: 146, Y: 157.904, Z: 0.25, E: 0.12857
G1 X: 147, Y: 157.904, Z: 0.25, E: 0.12889
G1 X: 147, Y: 198.096, Z: 0.25, E: 0.14149
G1 X: 148, Y: 198.096, Z: 0.25, E: 0.1418
G1 X: 148, Y: 157.904, Z: 0.25, E: 0.1544
G1 X: 149, Y: 157.904, Z: 0.25, E: 0.15472
G1 X: 149, Y: 198.096, Z: 0.25, E: 0.16732
G1 X: 150, Y: 198.096, Z: 0.25, E: 0.16763
G1 X: 150, Y: 157.904, Z: 0.25, E: 0.18023
G1 X: 151, Y: 157.904, Z: 0.25, E: 0.18054
G1 X: 151, Y: 198.096, Z: 0.25, E: 0.19314
G1 X: 152, Y: 198.096, Z: 0.25, E: 0.19346
G1 X: 152, Y: 157.904, Z: 0.25, E: 0.20606
G1 X: 153, Y: 157.904, Z: 0.25, E: 0.20637
G1 X: 153, Y: 198.096, Z: 0.25, E: 0.21897
G1 X: 154, Y: 198.096, Z: 0.25, E: 0.21929
G1 X: 154, Y: 157.904, Z: 0.25, E: 0.23189
G1 X: 155, Y: 157.904, Z: 0.25, E: 0.2322
G1 X: 155, Y: 198.096, Z: 0.25, E: 0.2448
G1 X: 156, Y: 198.096, Z: 0.25, E: 0.24511
G1 X: 156, Y: 157.904, Z: 0.25, E: 0.25771
G1 X: 157, Y: 157.904, Z: 0.25, E: 0.25803
G1 X: 157, Y: 198.096, Z: 0.25, E: 0.27063
G1 X: 158, Y: 198.096, Z: 0.25, E: 0.27094
G1 X: 158, Y: 157.904, Z: 0.25, E: 0.28354
G1 X: 159, Y: 157.904, Z: 0.25, E: 0.28386
G1 X: 159, Y: 198.096, Z: 0.25, E: 0.29646
G1 X: 160, Y: 198.096, Z: 0.25, E: 0.29677
G1 X: 160, Y: 157.904, Z: 0.25, E: 0.30937
G1 X: 161, Y: 157.904, Z: 0.25, E: 0.30968
G1 X: 161, Y: 198.096, Z: 0.25, E: 0.32229
G1 X: 162, Y: 198.096, Z: 0.25, E: 0.3226
G1 X: 162, Y: 157.904, Z: 0.25, E: 0.3352
G1 X: 163, Y: 157.904, Z: 0.25, E: 0.33551
G1 X: 163, Y: 198.096, Z: 0.25, E: 0.34811
G1 X: 164, Y: 198.096, Z: 0.25, E: 0.34843
G1 X: 164, Y: 157.904, Z: 0.25, E: 0.36103
G1 X: 165, Y: 157.904, Z: 0.25, E: 0.36134
G1 X: 165, Y: 198.096, Z: 0.25, E: 0.37394
G1 X: 166, Y: 198.096, Z: 0.25, E: 0.37425
G1 X: 166, Y: 157.904, Z: 0.25, E: 0.38686
G1 X: 167, Y: 157.904, Z: 0.25, E: 0.38717
G1 X: 167, Y: 198.096, Z: 0.25, E: 0.39977
G1 X: 168, Y: 198.096, Z: 0.25, E: 0.40008
G1 X: 168, Y: 157.904, Z: 0.25, E: 0.41268
G1 X: 169, Y: 157.904, Z: 0.25, E: 0.413
G1 X: 169, Y: 198.096, Z: 0.25, E: 0.4256
G1 X: 170, Y: 198.096, Z: 0.25, E: 0.42591
G1 X: 170, Y: 157.904, Z: 0.25, E: 0.43851
G1 X: 171, Y: 157.904, Z: 0.25, E: 0.43883
G1 X: 171, Y: 198.096, Z: 0.25, E: 0.45143
G1 X: 172, Y: 198.096, Z: 0.25, E: 0.45174
G1 X: 172, Y: 157.904, Z: 0.25, E: 0.46434
G1 X: 173, Y: 157.904, Z: 0.25, E: 0.46465
G1 X: 173, Y: 198.096, Z: 0.25, E: 0.47725
G1 X: 174, Y: 198.096, Z: 0.25, E: 0.47757
G1 X: 174, Y: 157.904, Z: 0.25, E: 0.49017
G1 X: 175, Y: 157.904, Z: 0.25, E: 0.49048
G1 X: 175, Y: 198.096, Z: 0.25, E: 0.50308
G1 X: 176, Y: 198.096, Z: 0.25, E: 0.5034
G1 X: 176, Y: 157.904, Z: 0.25, E: 0.516
G1 X: 177, Y: 157.904, Z: 0.25, E: 0.51631
G1 X: 177, Y: 198.096, Z: 0.25, E: 0.52891
G1 X: 178, Y: 198.096, Z: 0.25, E: 0.52922
G1 X: 178, Y: 157.904, Z: 0.25, E: 0.54182
G1 X: 179, Y: 157.904, Z: 0.25, E: 0.54214
G1 X: 179, Y: 198.096, Z: 0.25, E: 0.55474
G1 X: 180, Y: 198.096, Z: 0.25, E: 0.55505
G1 X: 180, Y: 157.904, Z: 0.25, E: 0.56765
G1 X: 181, Y: 157.904, Z: 0.25, E: 0.56797
G1 X: 181, Y: 198.096, Z: 0.25, E: 0.58057
G1 X: 182, Y: 198.096, Z: 0.25, E: 0.58088
G1 X: 182, Y: 157.904, Z: 0.25, E: 0.59348
G1 X: 183, Y: 157.904, Z: 0.25, E: 0.59379
G1 X: 183, Y: 198.096, Z: 0.25, E: 0.60639
G1 X: 184, Y: 198.096, Z: 0.25, E: 0.60671
G1 X: 184, Y: 157.904, Z: 0.25, E: 0.61931
G1 X: 185, Y: 157.904, Z: 0.25, E: 0.61962
G1 X: 185, Y: 198.096, Z: 0.25, E: 0.63222
G1 X: 186, Y: 198.096, Z: 0.25, E: 0.63254
